Yidx: 48783, Block: 0, Thread: 0,  Cvals: 0.000000000000(0), z_elem: -0.000001447942(0), local_sum: 0.000000000000
Yidx: 48783, Block: 0, Thread: 0,  Cvals: 0.000023251758(3), z_elem: 0.000005738341(1), local_sum: 0.000000000133
Yidx: 48783, Block: 0, Thread: 0,  Cvals: -0.000039243623(6), z_elem: 0.000000022558(2), local_sum: 0.000000000133
Yidx: 48783, Block: 0, Thread: 0,  Cvals: -0.000000010410(9), z_elem: -125555.592125209601(3), local_sum: 0.001307015508
Yidx: 48784, Block: 0, Thread: 0,  Cvals: 0.000000000000(1), z_elem: -0.000001447942(0), local_sum: 0.000000000000
Yidx: 48784, Block: 0, Thread: 0,  Cvals: 0.000000000000(4), z_elem: 0.000005738341(1), local_sum: 0.000000000000
Yidx: 48784, Block: 0, Thread: 0,  Cvals: 0.000000000000(7), z_elem: 0.000000022558(2), local_sum: 0.000000000000
Yidx: 48784, Block: 0, Thread: 0,  Cvals: 0.000000000000(10), z_elem: -125555.592125209601(3), local_sum: 0.000000000000
Yidx: 48785, Block: 0, Thread: 0,  Cvals: 0.000000000000(2), z_elem: -0.000001447942(0), local_sum: 0.000000000000
Yidx: 48785, Block: 0, Thread: 0,  Cvals: 0.002524748348(5), z_elem: 0.000005738341(1), local_sum: 0.000000014488
Yidx: 48785, Block: 0, Thread: 0,  Cvals: -0.004261194853(8), z_elem: 0.000000022558(2), local_sum: 0.000000014392
Yidx: 48785, Block: 0, Thread: 0,  Cvals: -0.000001130334(11), z_elem: -125555.592125209601(3), local_sum: 0.141919817072
Yidx: 48789, Block: 0, Thread: 2,  Cvals: 0.000000000000(12), z_elem: 0.000944471822(8), local_sum: 0.000000000000
Yidx: 48789, Block: 0, Thread: 2,  Cvals: -0.000001887472(15), z_elem: 0.000008150220(9), local_sum: -0.000000000015
Yidx: 48789, Block: 0, Thread: 2,  Cvals: 0.000003180609(18), z_elem: -0.000001838828(10), local_sum: -0.000000000021
Yidx: 48789, Block: 0, Thread: 2,  Cvals: -0.000000003850(21), z_elem: -126456.934945462548(11), local_sum: 0.000486844451
